,miniblock,er,sus
0,scene5,scene5,isanimate8
1,inanimate5,scene3,inanimate5
2,isanimate3,scene7,inanimate8
3,scene2,inanimate4,scene12
4,scene16,inanimate7,inanimate0
5,scene14,isanimate6,scene13
6,inanimate1,scene10,inanimate1
7,scene17,scene8,scene17
8,inanimate8,scene14,isanimate4
9,isanimate8,inanimate0,isanimate1
10,inanimate9,scene9,scene14
11,scene6,scene13,inanimate3
12,scene9,scene2,scene1
13,scene19,isanimate9,isanimate9
14,inanimate0,isanimate4,scene10
15,scene13,scene15,scene7
16,scene1,isanimate3,isanimate5
17,isanimate7,inanimate3,inanimate4
18,inanimate6,isanimate8,scene8
19,scene4,scene17,scene19
20,inanimate3,isanimate5,scene5
21,isanimate9,scene16,scene11
22,inanimate2,scene12,isanimate2
23,scene12,inanimate5,scene16
24,isanimate4,scene18,scene3
25,scene11,inanimate2,inanimate7
26,isanimate1,inanimate9,isanimate3
27,isanimate2,scene0,isanimate7
28,isanimate6,isanimate2,inanimate2
29,scene7,isanimate0,scene18
30,isanimate0,inanimate1,scene15
31,scene15,scene11,isanimate0
32,scene10,scene6,isanimate6
33,scene3,scene1,scene6
34,scene0,scene19,scene9
35,inanimate7,scene4,scene4
36,isanimate5,inanimate6,scene0
37,inanimate4,isanimate7,inanimate6
38,scene8,inanimate8,scene2
39,scene18,isanimate1,inanimate9
40,scene14,isanimate2,scene5
41,isanimate4,scene16,isanimate7
42,isanimate6,isanimate4,scene1
43,scene11,scene6,scene9
44,inanimate8,inanimate1,inanimate5
45,scene2,scene4,isanimate1
46,isanimate1,scene18,inanimate3
47,scene6,scene15,scene7
48,scene19,isanimate6,isanimate9
49,inanimate5,isanimate8,scene15
50,scene7,isanimate9,inanimate7
51,isanimate9,scene14,scene4
52,inanimate9,scene12,scene2
53,isanimate2,scene0,inanimate6
54,inanimate2,inanimate3,scene0
55,scene8,scene17,isanimate8
56,scene10,isanimate1,inanimate2
57,inanimate3,scene7,scene10
58,scene3,inanimate4,scene6
59,scene15,inanimate8,inanimate9
60,isanimate7,isanimate7,inanimate1
61,inanimate6,scene8,isanimate3
62,scene12,scene3,scene12
63,inanimate7,scene2,scene16
64,scene1,scene11,inanimate0
65,scene13,scene10,scene3
66,scene5,inanimate7,isanimate0
67,scene0,inanimate2,scene13
68,scene16,inanimate9,scene11
69,inanimate1,scene9,scene14
70,scene17,scene1,isanimate5
71,inanimate4,scene5,inanimate8
72,isanimate8,isanimate3,isanimate2
73,scene18,isanimate5,scene17
74,inanimate0,inanimate0,scene18
75,scene9,inanimate6,isanimate6
76,isanimate3,isanimate0,isanimate4
77,isanimate0,scene19,scene8
78,scene4,scene13,scene19
79,isanimate5,inanimate5,inanimate4
80,scene13,scene4,isanimate3
81,scene2,scene9,scene8
82,isanimate2,inanimate6,isanimate0
83,isanimate5,scene19,isanimate9
84,scene12,isanimate9,scene11
85,inanimate9,scene7,isanimate2
86,isanimate3,inanimate2,scene10
87,scene5,scene8,scene16
88,isanimate9,inanimate9,scene17
89,scene14,isanimate1,inanimate5
