,miniblock,er,sus
0,inanimate7,scene19,isanimate4
1,inanimate1,inanimate1,inanimate1
2,isanimate2,isanimate7,scene4
3,scene0,scene18,inanimate7
4,scene17,isanimate9,inanimate5
5,inanimate6,inanimate2,scene2
6,scene11,isanimate0,scene18
7,scene4,inanimate9,isanimate6
8,scene18,isanimate8,scene14
9,isanimate4,inanimate5,isanimate0
10,scene12,inanimate8,scene6
11,isanimate8,scene17,scene11
12,isanimate7,isanimate4,scene19
13,scene13,inanimate6,inanimate2
14,scene16,scene9,inanimate8
15,scene1,scene8,isanimate5
16,inanimate0,inanimate7,isanimate1
17,isanimate1,scene14,scene3
18,inanimate8,inanimate4,scene1
19,scene2,inanimate0,scene12
20,scene5,scene2,scene7
21,isanimate5,scene11,scene15
22,scene19,scene4,isanimate8
23,inanimate3,scene0,inanimate0
24,isanimate0,isanimate1,isanimate3
25,scene7,scene12,scene9
26,scene8,scene10,isanimate9
27,scene15,scene15,scene0
28,scene10,scene1,inanimate3
29,inanimate2,scene16,isanimate7
30,isanimate6,scene5,scene16
31,scene14,scene7,scene10
32,inanimate9,isanimate3,inanimate4
33,inanimate5,scene3,scene13
34,scene9,scene6,scene8
35,isanimate9,isanimate2,inanimate9
36,scene3,scene13,inanimate6
37,inanimate4,isanimate5,isanimate2
38,scene6,inanimate3,scene17
39,isanimate3,isanimate6,scene5
40,scene5,isanimate7,inanimate9
41,inanimate6,inanimate9,inanimate0
42,inanimate4,isanimate3,scene10
43,inanimate8,scene6,scene18
44,scene8,inanimate4,isanimate0
45,scene19,isanimate8,scene4
46,inanimate2,isanimate4,isanimate9
47,isanimate9,scene8,inanimate7
48,scene3,inanimate2,isanimate3
49,scene18,scene4,scene6
50,isanimate1,isanimate1,isanimate7
51,inanimate1,isanimate6,scene16
52,scene12,scene7,isanimate6
53,scene9,isanimate2,isanimate1
54,scene17,scene13,scene15
55,inanimate9,scene15,isanimate8
56,scene15,isanimate9,inanimate4
57,inanimate3,scene1,inanimate2
58,isanimate6,inanimate7,scene11
59,scene14,scene12,scene19
60,isanimate3,scene5,isanimate4
61,scene2,scene19,inanimate1
62,scene16,inanimate0,scene17
63,scene10,scene10,isanimate2
64,scene7,scene17,scene12
65,scene4,inanimate8,inanimate3
66,inanimate5,isanimate5,isanimate5
67,inanimate7,inanimate5,inanimate8
68,isanimate5,scene0,scene1
69,isanimate2,scene3,inanimate6
70,isanimate4,scene18,scene13
71,scene13,scene2,inanimate5
72,scene6,scene16,scene0
73,scene0,scene9,scene8
74,inanimate0,inanimate6,scene9
75,isanimate8,inanimate1,scene14
76,scene1,scene11,scene5
77,scene11,inanimate3,scene3
78,isanimate0,scene14,scene7
79,isanimate7,isanimate0,scene2
80,scene17,scene8,scene13
81,inanimate7,scene2,scene17
82,scene9,inanimate5,scene19
83,isanimate7,inanimate0,isanimate0
84,scene4,scene9,scene5
85,inanimate5,scene14,inanimate8
86,scene8,scene4,inanimate1
87,isanimate3,scene11,isanimate9
88,scene16,isanimate9,inanimate3
89,scene1,scene1,scene4
90,inanimate1,scene10,scene14
91,scene6,inanimate8,scene6
92,scene19,inanimate6,inanimate9
93,isanimate9,scene19,scene16
94,isanimate2,scene13,scene15
95,scene12,inanimate3,scene18
96,scene7,scene7,isanimate4
97,isanimate1,scene3,isanimate3
98,scene13,scene17,inanimate2
99,isanimate8,isanimate4,isanimate2
100,inanimate3,inanimate9,scene10
101,isanimate6,isanimate7,scene0
102,scene18,scene15,scene8
103,scene11,isanimate3,inanimate7
104,scene5,scene5,inanimate4
105,inanimate6,isanimate5,scene2
106,scene3,inanimate1,inanimate6
107,inanimate9,isanimate2,scene7
108,inanimate2,isanimate8,scene1
109,scene14,isanimate0,isanimate1
110,inanimate0,isanimate1,inanimate0
111,inanimate8,inanimate7,scene3
112,isanimate0,scene12,isanimate6
113,isanimate5,scene0,scene12
114,scene10,scene18,scene11
115,inanimate4,inanimate4,isanimate7
116,scene0,isanimate6,inanimate5
117,isanimate4,scene6,isanimate5
118,scene15,scene16,scene9
119,scene2,inanimate2,isanimate8
120,isanimate1,isanimate0,scene1
121,isanimate3,scene3,scene10
122,scene2,inanimate4,inanimate1
123,scene3,isanimate7,scene19
124,scene14,isanimate4,scene18
125,inanimate8,scene1,isanimate9
126,scene15,scene4,isanimate1
127,scene17,scene6,isanimate2
128,inanimate3,scene18,scene2
129,scene16,scene2,isanimate7
130,scene13,scene19,inanimate5
131,inanimate4,scene0,inanimate9
132,isanimate0,inanimate1,scene0
133,scene0,isanimate6,isanimate4
134,scene18,scene9,inanimate8
135,isanimate4,scene11,scene5
136,scene11,scene14,inanimate7
137,scene10,inanimate8,isanimate6
138,scene4,inanimate3,scene14
139,isanimate2,scene15,scene8
140,scene9,inanimate7,scene15
141,scene7,scene5,scene6
142,scene1,inanimate9,scene12
143,scene8,isanimate3,inanimate2
144,inanimate5,isanimate2,inanimate3
145,inanimate9,scene13,isanimate0
146,inanimate6,inanimate0,inanimate6
147,isanimate9,scene7,isanimate5
148,inanimate0,inanimate6,scene3
149,inanimate1,inanimate2,scene17
150,isanimate8,inanimate5,scene16
151,inanimate7,scene10,scene11
152,inanimate2,scene12,scene9
153,isanimate5,scene8,inanimate4
154,isanimate6,isanimate8,isanimate8
155,scene19,scene16,scene7
156,scene6,isanimate9,inanimate0
157,scene5,isanimate1,isanimate3
158,isanimate7,scene17,scene13
159,scene12,isanimate5,scene4
160,inanimate9,isanimate2,isanimate0
161,scene3,scene9,isanimate8
162,scene6,scene12,scene4
163,scene17,isanimate9,inanimate0
164,isanimate1,scene11,isanimate9
165,scene0,scene6,scene1
166,inanimate2,scene8,scene19
167,scene8,isanimate6,inanimate1
168,scene5,isanimate3,isanimate5
169,isanimate6,scene4,inanimate5
170,scene16,inanimate9,scene12
171,scene14,scene5,isanimate4
172,scene12,isanimate1,inanimate6
173,inanimate3,isanimate5,scene3
174,isanimate8,inanimate3,scene11
175,isanimate7,scene17,scene18
176,scene11,isanimate4,scene0
177,isanimate4,inanimate1,isanimate6
178,isanimate3,scene1,isanimate1
179,scene4,scene14,scene5
180,scene13,inanimate2,scene14
181,scene18,scene7,inanimate3
182,inanimate8,scene15,isanimate3
183,isanimate2,inanimate5,scene9
184,scene10,inanimate6,scene16
185,inanimate4,inanimate0,inanimate4
186,inanimate6,scene18,scene2
187,inanimate5,scene13,scene6
188,isanimate5,isanimate0,inanimate7
189,isanimate9,inanimate7,scene13
190,scene19,scene0,scene15
191,scene15,scene19,inanimate8
192,scene9,isanimate7,scene17
193,inanimate0,scene10,scene7
194,isanimate0,inanimate8,isanimate2
195,inanimate1,inanimate4,inanimate2
196,scene1,scene16,isanimate7
197,scene7,scene3,scene8
198,inanimate7,isanimate8,inanimate9
199,scene2,scene2,scene10
200,isanimate9,inanimate3,inanimate1
201,scene5,scene10,isanimate7
202,scene14,scene8,isanimate6
203,scene1,scene1,scene5
204,isanimate4,scene9,inanimate4
205,isanimate5,scene5,isanimate2
206,inanimate6,isanimate1,scene9
207,isanimate1,isanimate3,inanimate0
208,scene17,scene18,scene17
209,scene12,isanimate6,scene14
210,isanimate2,scene19,isanimate5
211,scene4,scene17,scene16
212,scene3,inanimate0,scene12
213,inanimate3,inanimate6,scene3
214,scene10,isanimate5,isanimate4
215,scene13,scene7,scene18
216,isanimate8,scene16,scene2
217,scene7,isanimate0,inanimate8
218,isanimate3,inanimate2,isanimate0
219,inanimate1,scene15,scene13
220,inanimate7,inanimate5,inanimate9
221,scene19,inanimate4,inanimate5
222,scene8,scene2,inanimate7
223,scene16,scene13,scene0
224,inanimate8,scene14,isanimate3
225,inanimate2,scene4,isanimate8
226,scene2,inanimate7,isanimate1
227,scene9,isanimate9,scene4
228,scene0,scene11,scene10
229,scene18,isanimate4,inanimate6
230,scene6,inanimate1,scene15
231,scene15,inanimate8,scene6
232,isanimate7,isanimate2,scene8
233,inanimate5,scene12,scene1
234,isanimate0,inanimate9,scene19
235,scene11,scene3,scene11
236,inanimate4,isanimate7,inanimate2
237,inanimate0,scene6,scene7
238,isanimate6,isanimate8,isanimate9
239,inanimate9,scene0,inanimate3
