,miniblock,er,sus
0,inanimate6,isanimate9,inanimate5
1,scene13,isanimate8,scene15
2,scene17,scene12,scene6
3,scene8,inanimate2,scene9
4,scene2,inanimate9,inanimate9
5,inanimate1,isanimate2,inanimate1
6,scene15,isanimate4,isanimate5
7,scene4,scene10,scene0
8,isanimate0,scene13,scene10
9,isanimate6,inanimate3,isanimate0
10,scene12,scene4,scene5
11,scene14,inanimate0,isanimate1
12,isanimate5,inanimate1,isanimate2
13,scene18,scene17,scene12
14,inanimate2,isanimate7,inanimate7
15,inanimate7,isanimate6,scene19
16,scene6,scene9,scene4
17,scene9,scene15,inanimate8
18,scene16,scene2,scene8
19,scene3,scene19,scene18
20,scene11,scene1,inanimate2
21,inanimate9,inanimate4,isanimate4
22,inanimate3,scene5,isanimate9
23,isanimate9,inanimate6,isanimate6
24,inanimate8,scene3,scene3
25,scene5,scene6,inanimate3
26,scene7,scene7,scene11
27,isanimate8,inanimate7,scene16
28,inanimate5,isanimate5,isanimate3
29,isanimate7,scene0,inanimate4
30,inanimate0,isanimate3,scene17
31,scene19,isanimate0,scene2
32,isanimate3,isanimate1,inanimate6
33,isanimate2,scene11,isanimate8
34,scene1,scene18,scene13
35,scene0,scene8,scene14
36,isanimate4,scene14,inanimate0
37,isanimate1,inanimate8,scene7
38,inanimate4,inanimate5,scene1
39,scene10,scene16,isanimate7
40,inanimate7,scene14,scene10
41,scene9,isanimate8,scene7
42,isanimate5,inanimate3,scene16
43,isanimate7,isanimate9,scene4
44,scene8,scene17,isanimate2
45,scene3,inanimate1,scene15
46,isanimate3,inanimate6,scene1
47,inanimate9,scene5,scene11
48,isanimate2,scene2,isanimate3
49,isanimate0,isanimate2,scene18
50,scene5,inanimate0,isanimate4
51,inanimate0,isanimate7,isanimate8
52,scene17,inanimate9,isanimate1
53,scene0,isanimate3,scene0
54,scene6,scene15,inanimate8
55,scene11,scene13,scene8
56,scene10,inanimate8,inanimate3
57,isanimate1,scene0,scene6
58,inanimate2,scene16,inanimate0
59,scene14,scene19,scene13
60,scene2,inanimate7,scene19
61,isanimate4,scene6,scene3
62,inanimate6,isanimate6,scene9
63,scene1,scene4,isanimate7
64,scene16,scene7,isanimate9
65,inanimate3,scene10,isanimate6
66,isanimate9,isanimate5,scene14
67,scene19,scene8,scene2
68,inanimate8,inanimate4,inanimate1
69,inanimate4,isanimate4,inanimate2
70,scene7,scene18,isanimate5
71,scene12,inanimate5,scene5
72,scene18,isanimate0,inanimate4
73,scene15,inanimate2,inanimate7
74,scene13,scene9,scene17
75,isanimate8,scene3,scene12
76,inanimate5,scene1,inanimate6
77,inanimate1,isanimate1,isanimate0
