,miniblock,er,sus
0,isanimate6,scene5,inanimate3
1,isanimate4,scene3,scene2
2,isanimate5,inanimate1,scene5
3,inanimate5,isanimate6,scene10
4,inanimate6,inanimate6,scene9
5,inanimate0,scene18,isanimate7
6,scene3,inanimate3,inanimate7
7,inanimate7,isanimate9,scene8
8,scene6,inanimate8,scene13
9,scene9,isanimate1,scene3
10,inanimate9,scene2,scene6
11,scene0,inanimate4,inanimate9
12,scene14,scene8,scene7
13,scene18,inanimate9,scene16
14,isanimate8,isanimate2,isanimate3
15,isanimate0,scene19,scene15
16,isanimate9,scene12,inanimate1
17,scene10,isanimate3,isanimate1
18,scene15,scene9,scene11
19,scene11,inanimate7,scene1
20,inanimate8,scene16,scene17
21,scene5,scene15,isanimate4
22,isanimate7,scene13,inanimate2
23,isanimate2,scene4,isanimate8
24,scene8,scene14,scene14
25,scene16,scene1,inanimate8
26,inanimate3,isanimate7,inanimate6
27,isanimate3,scene6,isanimate2
28,scene17,isanimate4,scene19
29,scene2,inanimate2,inanimate0
30,inanimate1,inanimate0,scene0
31,inanimate2,scene17,inanimate4
32,scene7,scene7,inanimate5
33,scene19,isanimate0,isanimate6
34,scene13,scene0,scene4
35,scene12,inanimate5,isanimate9
36,inanimate4,scene11,isanimate5
37,isanimate1,scene10,scene12
38,scene1,isanimate5,scene18
39,scene4,isanimate8,isanimate0
40,inanimate8,inanimate1,inanimate1
41,scene8,scene7,isanimate4
42,isanimate0,scene6,scene8
43,inanimate0,scene13,scene15
44,scene3,isanimate2,isanimate3
45,isanimate8,isanimate5,scene2
46,scene16,scene19,scene7
47,scene4,isanimate7,scene6
48,scene9,scene15,isanimate2
49,inanimate5,scene9,scene19
50,scene0,isanimate3,scene0
51,isanimate6,scene10,inanimate0
52,inanimate2,scene11,inanimate2
53,isanimate1,scene18,scene9
54,inanimate7,scene12,isanimate0
55,inanimate4,inanimate8,scene18
56,isanimate5,isanimate0,scene1
57,inanimate1,scene8,scene4
58,scene13,isanimate4,isanimate9
59,isanimate7,isanimate8,scene12
60,scene15,inanimate4,scene17
61,inanimate6,inanimate6,scene5
62,scene2,scene16,isanimate7
63,inanimate9,scene1,isanimate8
64,scene17,inanimate3,inanimate7
65,scene18,scene14,scene14
66,isanimate2,inanimate5,isanimate5
67,inanimate3,inanimate9,scene10
68,scene6,scene3,inanimate3
69,scene10,inanimate7,inanimate5
70,scene1,inanimate0,scene13
71,scene14,scene17,isanimate6
72,isanimate3,scene2,scene11
73,isanimate4,isanimate1,inanimate6
