,miniblock,er,sus
0,isanimate9,scene17,inanimate4
1,scene1,isanimate4,scene4
2,scene13,scene7,isanimate7
3,scene11,isanimate7,scene10
4,scene19,scene19,isanimate9
5,inanimate2,inanimate6,scene18
6,isanimate1,isanimate6,scene3
7,scene17,inanimate1,inanimate1
8,scene10,scene3,inanimate3
9,scene9,isanimate3,scene1
10,isanimate8,scene0,scene16
11,isanimate5,isanimate9,scene17
12,inanimate6,isanimate1,scene9
13,scene16,scene5,isanimate8
14,scene2,scene15,scene2
15,inanimate5,isanimate2,isanimate1
16,scene15,scene8,scene7
17,isanimate6,scene9,inanimate9
18,scene8,inanimate8,inanimate5
19,scene6,scene2,inanimate2
20,inanimate4,inanimate4,inanimate8
21,isanimate3,isanimate0,scene15
22,inanimate7,scene14,isanimate3
23,scene18,scene1,scene11
24,scene12,inanimate2,scene8
25,isanimate2,isanimate5,isanimate6
26,scene7,scene6,isanimate5
27,inanimate1,inanimate9,scene6
28,isanimate7,scene18,inanimate0
29,scene3,isanimate8,scene5
30,scene14,scene13,isanimate0
31,scene0,inanimate0,scene12
32,inanimate9,inanimate3,inanimate6
33,inanimate3,scene12,scene19
34,isanimate4,scene10,isanimate2
35,inanimate8,inanimate7,scene0
36,scene4,inanimate5,scene13
37,isanimate0,scene4,inanimate7
38,scene5,scene11,scene14
39,inanimate0,scene16,isanimate4
40,scene18,scene6,inanimate6
41,scene10,scene14,scene8
42,scene13,scene2,scene3
43,isanimate0,scene13,inanimate2
44,scene8,inanimate2,scene10
45,inanimate3,scene5,scene1
46,inanimate4,isanimate7,scene12
47,isanimate6,isanimate8,inanimate8
48,scene4,scene3,inanimate9
49,isanimate4,scene16,isanimate3
50,isanimate1,inanimate4,scene6
51,scene12,isanimate0,scene19
52,scene5,scene10,scene15
53,scene19,isanimate9,scene2
54,isanimate2,scene8,isanimate4
55,scene2,isanimate1,scene13
56,isanimate8,inanimate1,isanimate6
57,scene16,scene12,scene7
58,isanimate7,scene9,scene0
59,inanimate6,scene17,inanimate5
60,scene6,isanimate3,scene17
61,scene0,inanimate7,scene5
62,scene9,inanimate0,scene18
63,scene15,scene0,inanimate3
64,isanimate5,scene1,isanimate5
65,scene7,isanimate5,scene11
66,scene14,inanimate3,isanimate9
67,inanimate5,scene4,inanimate7
68,inanimate2,scene15,scene4
69,inanimate8,isanimate4,isanimate2
70,isanimate3,scene7,isanimate7
71,inanimate0,isanimate6,inanimate1
72,scene3,scene18,isanimate1
73,inanimate9,inanimate5,scene14
74,inanimate1,inanimate6,scene16
75,isanimate9,inanimate8,isanimate8
76,scene11,scene19,isanimate0
77,inanimate7,inanimate9,inanimate0
78,scene1,scene11,scene9
79,scene17,isanimate2,inanimate4
80,isanimate3,isanimate5,inanimate0
81,isanimate0,scene9,scene16
82,scene1,inanimate3,inanimate6
83,isanimate7,isanimate8,isanimate5
84,inanimate9,inanimate1,scene5
85,inanimate8,scene8,scene9
86,scene7,scene18,isanimate7
87,scene18,scene11,isanimate8
88,isanimate2,isanimate6,scene11
89,scene4,scene12,inanimate3
90,scene13,scene15,scene4
91,isanimate4,scene2,scene2
92,scene6,inanimate8,scene19
93,inanimate1,inanimate2,scene7
94,scene0,scene10,isanimate1
95,isanimate6,scene3,scene0
96,scene5,scene14,inanimate5
97,inanimate6,isanimate9,inanimate9
98,inanimate3,inanimate9,isanimate6
99,isanimate8,scene16,inanimate8
100,inanimate4,inanimate4,scene18
101,isanimate1,scene7,scene10
102,inanimate2,isanimate4,scene6
103,scene11,scene5,inanimate1
104,isanimate5,scene1,isanimate2
105,scene19,inanimate5,inanimate4
106,inanimate7,inanimate0,scene12
107,isanimate9,inanimate7,isanimate9
108,scene12,isanimate2,scene8
109,scene15,scene0,scene13
110,scene14,isanimate3,inanimate7
111,scene2,scene13,isanimate4
112,scene16,scene19,isanimate0
113,scene8,isanimate7,scene17
114,inanimate0,scene4,scene15
115,scene3,isanimate1,isanimate3
116,scene10,scene17,scene1
117,scene9,isanimate0,inanimate2
118,scene17,inanimate6,scene3
119,inanimate5,scene6,scene14
120,scene19,scene16,scene11
121,scene9,isanimate4,scene13
122,scene5,inanimate6,scene2
123,isanimate6,scene0,isanimate8
124,scene12,scene14,inanimate4
125,isanimate5,isanimate0,isanimate4
126,inanimate9,scene3,inanimate6
127,scene14,scene13,scene16
128,isanimate9,scene4,isanimate0
129,inanimate8,scene15,scene0
130,isanimate0,isanimate1,isanimate6
131,inanimate5,scene7,scene7
132,scene0,isanimate5,inanimate1
133,isanimate2,scene10,isanimate9
134,scene18,scene5,isanimate5
135,scene13,isanimate9,isanimate7
136,scene4,scene17,scene6
137,scene11,inanimate2,inanimate5
138,isanimate7,isanimate8,scene3
139,scene1,isanimate6,scene12
140,inanimate7,inanimate9,inanimate3
141,inanimate2,scene1,scene17
142,isanimate4,inanimate7,isanimate2
143,scene17,isanimate2,scene19
144,inanimate1,inanimate4,scene1
145,scene2,scene12,scene18
146,isanimate1,inanimate8,scene5
147,inanimate6,scene9,scene14
148,scene15,inanimate0,inanimate9
149,inanimate0,inanimate3,scene10
150,scene6,scene19,isanimate1
151,isanimate3,scene11,inanimate0
152,inanimate3,inanimate5,scene15
153,scene16,isanimate3,isanimate3
154,inanimate4,scene18,scene9
155,scene7,scene6,inanimate2
156,scene8,scene2,scene4
157,scene10,inanimate1,scene8
158,isanimate8,isanimate7,inanimate8
159,scene3,scene8,inanimate7
160,inanimate1,scene6,scene15
161,scene16,inanimate8,scene18
162,scene13,scene11,scene14
163,scene5,inanimate2,isanimate3
164,isanimate9,scene9,isanimate1
165,scene12,isanimate2,inanimate5
166,scene14,scene1,scene3
167,isanimate6,scene16,scene0
168,isanimate5,scene17,scene1
169,scene2,isanimate6,scene8
170,scene0,inanimate5,inanimate6
171,isanimate0,isanimate7,inanimate8
172,inanimate3,scene2,scene13
173,scene4,inanimate7,scene4
174,inanimate9,inanimate0,isanimate8
175,inanimate7,scene0,isanimate5
176,scene3,scene14,inanimate9
177,inanimate8,isanimate1,isanimate2
178,scene6,scene4,scene12
179,inanimate6,isanimate4,scene6
180,inanimate0,isanimate0,isanimate9
181,scene11,inanimate1,inanimate3
182,inanimate2,scene5,inanimate4
183,scene10,scene18,inanimate1
184,inanimate4,isanimate8,scene19
185,scene9,isanimate3,scene10
186,scene8,scene13,inanimate2
187,scene15,isanimate9,scene17
188,scene1,scene8,scene5
189,isanimate1,inanimate6,scene9
190,inanimate5,inanimate4,isanimate4
191,isanimate2,scene19,isanimate6
192,isanimate4,scene3,scene11
193,isanimate8,scene7,isanimate0
194,isanimate3,scene15,scene16
195,isanimate7,isanimate5,inanimate7
196,scene18,scene10,inanimate0
197,scene17,scene12,scene2
198,scene7,inanimate9,isanimate7
199,scene19,inanimate3,scene7
200,scene3,inanimate7,inanimate7
201,scene7,scene9,scene11
202,scene2,scene3,scene14
203,inanimate1,scene5,scene17
204,isanimate3,scene4,isanimate1
205,scene1,scene15,inanimate9
206,scene19,scene2,isanimate3
207,scene5,inanimate9,inanimate8
208,scene9,scene17,inanimate3
209,scene13,inanimate5,isanimate2
210,inanimate3,scene0,scene9
211,scene4,isanimate9,inanimate2
212,inanimate5,scene12,isanimate8
213,inanimate0,scene16,scene6
214,inanimate8,isanimate0,scene4
215,scene8,scene10,inanimate6
216,scene17,inanimate0,isanimate6
217,scene6,scene1,inanimate0
218,scene14,inanimate3,scene10
