,miniblock,er,sus
0,scene5,isanimate8,scene7
1,scene10,inanimate1,isanimate1
2,isanimate5,isanimate2,isanimate3
3,scene15,inanimate6,isanimate7
4,isanimate8,inanimate2,inanimate7
5,scene12,scene6,scene15
6,scene2,inanimate0,scene0
7,isanimate9,isanimate6,scene18
8,scene7,inanimate5,scene16
9,scene11,scene2,scene19
10,inanimate3,scene10,scene12
11,scene3,scene5,isanimate5
12,isanimate0,scene7,scene1
13,scene18,scene12,scene9
14,scene13,scene16,isanimate2
15,scene19,isanimate3,scene14
16,scene16,scene0,inanimate5
17,inanimate6,scene9,isanimate6
18,inanimate0,isanimate1,inanimate3
19,isanimate3,scene19,scene2
20,inanimate9,isanimate4,isanimate4
21,isanimate4,scene14,scene5
22,scene17,scene17,inanimate0
23,isanimate6,isanimate7,inanimate1
24,scene9,inanimate8,isanimate9
25,scene6,inanimate9,inanimate2
26,scene14,scene3,inanimate4
27,scene4,scene8,scene8
28,scene1,scene4,scene13
29,isanimate7,scene13,inanimate6
30,isanimate1,isanimate5,inanimate8
31,inanimate1,isanimate9,scene3
32,inanimate4,scene18,scene4
33,scene0,inanimate7,scene10
34,inanimate5,inanimate4,isanimate8
35,inanimate2,scene1,scene6
36,scene8,scene11,scene17
37,inanimate8,inanimate3,isanimate0
38,inanimate7,scene15,scene11
39,isanimate2,isanimate0,inanimate9
40,isanimate2,scene19,scene6
41,isanimate0,isanimate0,scene8
42,isanimate3,inanimate1,scene14
43,scene1,isanimate6,isanimate3
44,scene6,inanimate2,scene2
45,scene3,scene7,scene5
46,isanimate7,isanimate8,inanimate3
47,inanimate3,scene2,isanimate5
48,scene9,scene13,isanimate2
49,scene19,scene15,inanimate8
50,isanimate6,scene4,isanimate9
51,scene4,inanimate9,scene0
52,scene7,inanimate0,scene19
53,scene5,scene8,scene10
54,scene14,inanimate7,inanimate7
55,scene17,inanimate6,scene3
56,scene0,isanimate4,scene15
57,inanimate1,scene9,inanimate5
58,scene12,isanimate3,scene16
59,scene15,scene16,inanimate4
60,inanimate4,inanimate4,inanimate1
61,scene10,isanimate2,isanimate6
62,isanimate9,scene3,isanimate8
63,isanimate4,isanimate7,inanimate0
64,isanimate5,isanimate9,inanimate2
65,scene18,scene17,scene13
66,inanimate8,scene11,isanimate0
67,inanimate6,scene10,isanimate7
68,isanimate1,isanimate5,scene9
69,scene11,scene1,inanimate9
70,isanimate8,inanimate5,scene11
71,inanimate9,scene0,isanimate1
72,inanimate7,scene12,scene7
73,scene8,scene6,scene4
74,scene13,inanimate3,scene17
75,inanimate2,inanimate8,scene18
76,scene16,scene5,inanimate6
77,scene2,isanimate1,scene1
78,inanimate5,scene14,isanimate4
79,inanimate0,scene18,scene12
80,inanimate4,scene8,scene12
81,isanimate4,scene12,isanimate0
82,scene5,inanimate2,scene6
83,inanimate0,isanimate1,isanimate7
84,scene12,isanimate5,scene8
85,inanimate5,scene13,isanimate3
86,isanimate9,scene0,scene13
87,scene14,scene4,scene3
88,scene3,isanimate2,scene9
89,isanimate5,scene7,inanimate7
90,inanimate9,isanimate7,isanimate9
91,isanimate3,inanimate1,scene15
92,scene18,scene11,isanimate4
93,scene15,isanimate0,scene17
94,isanimate6,scene10,inanimate8
95,scene9,scene2,scene5
96,scene1,scene6,isanimate6
97,scene6,inanimate9,inanimate1
98,isanimate0,isanimate6,scene16
99,inanimate6,scene14,isanimate1
100,isanimate8,isanimate8,scene14
101,inanimate8,inanimate4,inanimate9
102,isanimate7,scene5,scene1
103,scene16,isanimate4,isanimate5
104,scene19,isanimate9,scene10
105,scene11,inanimate5,inanimate5
106,scene13,scene16,scene2
107,inanimate2,inanimate6,scene11
108,isanimate1,scene18,scene19
109,scene17,scene1,inanimate0
110,isanimate2,isanimate3,isanimate2
111,scene4,inanimate7,inanimate6
112,scene0,scene3,inanimate3
113,scene8,scene15,inanimate4
114,scene7,inanimate3,inanimate2
115,inanimate1,scene19,scene18
116,scene2,scene17,isanimate8
117,inanimate7,inanimate8,scene7
118,inanimate3,scene9,scene4
