,miniblock,er,sus
0,isanimate0,scene6,inanimate9
1,scene14,scene1,isanimate6
2,scene0,scene9,scene2
3,inanimate2,inanimate0,scene19
4,inanimate0,scene15,inanimate0
5,scene8,scene10,isanimate7
6,scene1,scene14,isanimate3
7,scene5,scene0,scene3
8,isanimate8,scene18,scene16
9,isanimate3,scene7,inanimate6
10,inanimate5,scene13,scene8
11,scene18,isanimate0,scene7
12,scene17,isanimate1,scene17
13,inanimate7,isanimate6,isanimate2
14,scene13,inanimate8,isanimate5
15,inanimate3,isanimate4,scene18
16,scene15,scene16,inanimate4
17,isanimate2,inanimate3,scene12
18,inanimate4,isanimate8,scene1
19,scene10,isanimate7,scene10
20,isanimate4,isanimate5,inanimate1
21,scene4,isanimate9,scene13
22,scene7,scene2,inanimate5
23,inanimate9,inanimate5,isanimate4
24,scene2,scene12,isanimate0
25,scene19,scene4,isanimate8
26,scene6,isanimate3,isanimate9
27,inanimate1,isanimate2,isanimate1
28,scene3,inanimate2,inanimate3
29,isanimate6,scene3,inanimate7
30,isanimate7,inanimate6,scene0
31,scene16,inanimate7,scene14
32,scene12,inanimate1,inanimate2
33,inanimate8,scene11,scene9
34,isanimate1,inanimate4,scene11
35,inanimate6,scene17,scene6
36,isanimate5,scene19,scene4
37,scene9,inanimate9,scene5
38,isanimate9,scene8,scene15
39,scene11,scene5,inanimate8
40,scene2,inanimate6,scene19
41,isanimate3,scene0,inanimate7
42,scene17,isanimate7,isanimate9
43,inanimate1,isanimate0,isanimate7
44,inanimate3,isanimate5,isanimate1
45,scene16,inanimate2,inanimate6
46,isanimate1,scene6,isanimate0
47,scene1,scene18,scene11
48,inanimate6,scene7,scene8
49,scene12,inanimate3,scene12
50,scene3,inanimate7,inanimate1
51,isanimate7,isanimate3,isanimate3
52,isanimate5,scene15,scene14
53,isanimate2,inanimate0,scene7
54,isanimate6,scene17,inanimate2
55,scene6,inanimate9,inanimate0
56,inanimate8,isanimate6,scene16
57,scene15,scene9,isanimate8
58,isanimate0,scene8,isanimate4
59,scene18,inanimate1,isanimate2
60,isanimate9,inanimate8,scene17
61,scene10,scene5,isanimate6
62,scene0,inanimate4,scene13
63,scene19,scene14,inanimate9
64,scene14,isanimate9,inanimate4
65,scene5,scene13,scene10
66,inanimate9,scene1,inanimate8
67,inanimate0,scene3,scene5
68,scene8,scene2,scene0
69,isanimate4,scene4,isanimate5
70,inanimate2,scene11,scene18
71,inanimate5,isanimate8,scene9
72,scene9,isanimate1,scene1
73,inanimate7,isanimate2,inanimate5
74,scene13,scene10,scene15
75,isanimate8,scene16,inanimate3
76,scene7,isanimate4,scene4
77,scene4,scene12,scene2
78,scene11,inanimate5,scene6
79,inanimate4,scene19,scene3
80,inanimate3,scene12,scene9
81,inanimate4,isanimate1,inanimate1
82,inanimate5,scene13,isanimate2
83,isanimate9,inanimate1,inanimate6
84,scene2,scene2,scene11
85,isanimate8,scene11,scene5
86,inanimate9,scene10,inanimate2
87,scene8,isanimate5,isanimate7
88,scene15,isanimate3,scene3
89,inanimate6,inanimate0,scene14
90,scene16,isanimate2,isanimate8
91,scene19,scene6,scene12
92,scene18,scene18,scene0
93,scene10,scene15,scene17
94,isanimate0,isanimate9,isanimate4
95,scene13,inanimate8,inanimate8
96,isanimate6,scene19,isanimate6
97,isanimate4,isanimate7,inanimate7
98,scene0,scene16,inanimate0
99,scene3,scene17,inanimate5
100,scene17,scene0,scene6
