,miniblock,er,sus
0,scene11,scene9,isanimate4
1,inanimate7,scene8,scene10
2,isanimate9,isanimate8,scene14
3,inanimate9,scene4,scene6
4,scene18,inanimate2,isanimate9
5,isanimate4,scene0,scene7
6,isanimate0,scene14,scene13
7,scene3,isanimate1,isanimate7
8,inanimate6,scene2,scene4
9,inanimate1,isanimate3,scene12
10,scene16,scene15,scene15
11,scene6,scene1,isanimate1
12,scene9,isanimate4,scene18
13,scene12,isanimate5,scene1
14,scene1,scene11,scene17
15,scene19,scene16,inanimate2
16,isanimate3,isanimate7,isanimate0
17,scene15,scene5,isanimate8
18,isanimate7,isanimate0,isanimate5
19,scene8,inanimate8,inanimate9
20,inanimate3,scene13,inanimate3
21,inanimate8,inanimate1,scene19
22,isanimate6,isanimate6,inanimate8
23,scene0,scene19,scene3
24,inanimate0,isanimate2,scene11
25,scene13,scene12,scene2
26,scene7,scene6,inanimate4
27,scene5,scene10,scene16
28,scene14,inanimate0,isanimate6
29,scene10,inanimate6,scene9
30,scene4,inanimate7,inanimate5
31,inanimate4,inanimate3,inanimate7
32,inanimate5,inanimate9,scene5
33,isanimate2,inanimate5,scene8
34,inanimate2,isanimate9,isanimate2
35,isanimate1,inanimate4,scene0
36,scene17,scene3,inanimate0
37,isanimate8,scene18,inanimate6
38,scene2,scene7,isanimate3
39,isanimate5,scene17,inanimate1
40,scene9,isanimate2,inanimate1
41,isanimate7,scene13,isanimate8
42,scene4,scene11,isanimate7
43,isanimate6,isanimate0,isanimate4
44,isanimate9,isanimate3,isanimate5
45,inanimate5,scene4,scene9
46,scene2,scene10,isanimate6
47,inanimate2,scene15,scene0
48,scene8,inanimate5,inanimate5
49,scene16,scene8,scene8
50,inanimate6,isanimate9,scene14
51,isanimate5,scene2,scene15
52,scene6,inanimate0,scene10
53,scene3,scene0,isanimate3
54,isanimate1,inanimate9,scene12
55,inanimate0,isanimate6,scene7
56,scene7,scene1,scene2
57,isanimate2,scene12,scene4
58,scene0,scene6,inanimate3
59,isanimate4,isanimate7,scene16
60,scene5,inanimate7,isanimate9
61,inanimate7,inanimate1,scene11
62,inanimate1,isanimate4,scene6
63,scene15,scene16,scene19
64,scene14,scene3,scene5
65,scene18,isanimate5,inanimate7
66,inanimate8,scene17,inanimate0
67,isanimate0,isanimate8,scene3
68,isanimate8,scene5,isanimate1
69,scene11,scene9,scene17
70,scene17,isanimate1,scene18
71,scene1,scene18,inanimate6
72,isanimate3,inanimate4,inanimate8
73,scene19,inanimate6,isanimate0
74,inanimate4,inanimate8,scene13
75,inanimate3,scene14,scene1
76,inanimate9,scene7,inanimate4
77,scene10,inanimate3,inanimate2
78,scene12,inanimate2,isanimate2
79,scene13,scene19,inanimate9
80,scene13,isanimate5,inanimate5
81,scene11,inanimate7,isanimate1
82,isanimate2,scene2,scene1
83,isanimate3,scene4,inanimate9
84,scene6,inanimate0,scene2
85,scene9,scene12,scene19
86,inanimate2,inanimate8,isanimate9
87,scene14,scene11,inanimate2
88,isanimate8,scene9,scene16
89,scene7,isanimate2,isanimate7
90,scene1,scene16,scene3
91,isanimate5,inanimate5,scene12
92,inanimate3,scene3,isanimate6
93,inanimate0,scene7,isanimate8
94,isanimate4,isanimate7,scene8
95,inanimate9,inanimate3,inanimate8
96,scene10,scene17,inanimate6
97,inanimate6,scene14,scene18
98,isanimate9,isanimate1,scene17
99,scene16,isanimate0,isanimate5
100,scene8,scene13,scene15
101,isanimate0,scene8,inanimate3
102,scene3,scene5,scene14
103,scene2,isanimate6,isanimate4
104,scene15,inanimate9,scene6
105,inanimate5,inanimate2,scene9
106,scene5,scene15,scene11
107,isanimate1,isanimate3,scene10
108,inanimate8,isanimate4,inanimate0
109,scene17,scene1,scene5
110,scene0,inanimate1,inanimate7
111,inanimate7,scene19,inanimate1
112,scene18,scene10,inanimate4
113,isanimate6,scene6,scene13
114,scene19,inanimate6,scene0
115,isanimate7,scene18,scene7
116,inanimate1,inanimate4,isanimate2
117,inanimate4,isanimate8,isanimate0
118,scene12,scene0,isanimate3
119,scene4,isanimate9,scene4
120,isanimate3,scene1,isanimate1
121,scene5,scene7,inanimate7
122,isanimate6,inanimate4,isanimate8
123,inanimate9,scene18,scene15
124,inanimate3,isanimate8,scene16
125,scene12,isanimate3,isanimate6
126,scene8,isanimate2,inanimate4
127,inanimate7,inanimate0,scene6
128,scene2,inanimate7,inanimate1
129,scene17,scene12,isanimate4
130,scene19,isanimate1,inanimate8
131,scene0,isanimate9,inanimate2
132,isanimate0,inanimate3,inanimate3
133,inanimate5,isanimate6,scene11
134,isanimate1,isanimate4,isanimate2
135,isanimate4,scene14,scene14
136,scene11,inanimate8,scene10
137,isanimate9,scene15,scene9
138,scene9,isanimate7,scene17
139,inanimate6,scene2,scene3
140,inanimate8,isanimate0,scene2
141,inanimate0,isanimate5,inanimate5
142,isanimate5,scene13,scene12
143,scene15,inanimate6,scene19
144,isanimate2,scene4,inanimate6
145,inanimate1,scene10,isanimate3
146,scene13,scene16,scene4
147,inanimate4,scene0,scene7
148,isanimate7,inanimate2,isanimate7
149,scene16,scene19,scene5
150,isanimate8,inanimate5,isanimate5
151,scene1,scene11,isanimate9
152,scene14,scene17,scene1
153,scene6,scene5,isanimate0
154,scene3,inanimate1,scene18
155,scene18,scene3,scene8
156,scene7,scene9,scene0
157,scene4,inanimate9,scene13
158,inanimate2,scene8,inanimate9
159,scene10,scene6,inanimate0
160,scene8,scene3,scene13
161,scene7,isanimate6,scene17
162,inanimate1,scene17,inanimate7
163,inanimate6,scene18,scene0
164,isanimate6,scene11,inanimate6
165,scene3,inanimate7,scene2
166,inanimate4,inanimate8,scene15
167,scene9,inanimate4,inanimate0
168,scene11,scene7,isanimate8
169,scene18,scene16,scene12
170,scene0,inanimate1,isanimate9
171,inanimate7,scene12,inanimate2
172,inanimate8,isanimate9,scene3
173,scene6,scene6,scene5
174,isanimate8,isanimate8,scene1
175,scene4,scene0,isanimate1
176,scene15,scene19,scene6
177,isanimate2,inanimate3,scene14
178,scene5,inanimate2,inanimate3
179,isanimate5,scene10,isanimate0
180,inanimate0,scene5,scene7
181,scene17,isanimate7,scene10
182,inanimate5,scene2,isanimate3
183,inanimate9,isanimate5,inanimate4
184,scene10,inanimate6,scene9
185,isanimate9,inanimate5,scene4
186,isanimate4,scene4,isanimate4
187,scene14,isanimate4,isanimate2
188,scene2,inanimate0,inanimate9
189,scene12,scene9,scene8
190,scene16,isanimate1,scene18
191,inanimate2,scene14,inanimate1
192,scene19,scene15,isanimate5
193,isanimate3,scene13,inanimate5
194,isanimate1,isanimate0,scene19
195,isanimate7,scene1,scene16
196,scene1,inanimate9,inanimate8
197,scene13,isanimate3,isanimate7
198,isanimate0,scene8,scene11
199,inanimate3,isanimate2,isanimate6
200,isanimate9,inanimate6,scene1
201,scene1,scene2,scene10
202,inanimate2,isanimate4,scene18
203,scene0,scene19,inanimate4
204,isanimate6,scene12,scene5
205,scene16,inanimate2,isanimate6
206,isanimate2,inanimate5,scene7
207,scene8,scene11,inanimate3
208,scene19,inanimate1,scene14
209,inanimate1,isanimate7,isanimate1
210,scene3,inanimate3,scene13
211,inanimate0,scene8,scene0
212,inanimate4,scene9,isanimate5
213,scene11,scene17,isanimate3
214,inanimate9,scene18,inanimate8
215,scene7,scene10,inanimate9
216,scene12,scene5,scene4
217,scene15,scene1,scene2
218,isanimate0,isanimate5,scene15
219,scene13,isanimate3,inanimate7
220,scene14,isanimate2,inanimate2
221,scene10,scene4,scene17
222,inanimate7,scene14,scene9
223,isanimate5,isanimate9,scene19
224,scene2,scene6,isanimate7
225,isanimate1,scene0,scene12
226,scene4,scene13,isanimate9
227,scene9,inanimate9,inanimate5
228,inanimate8,scene16,isanimate8
229,isanimate8,isanimate1,scene16
230,scene5,scene3,inanimate0
231,scene17,scene7,scene11
232,inanimate5,inanimate8,isanimate2
233,inanimate3,isanimate6,inanimate6
234,inanimate6,scene15,isanimate4
235,isanimate7,isanimate8,isanimate0
236,isanimate3,isanimate0,inanimate1
237,scene18,inanimate4,scene8
238,isanimate4,inanimate0,scene6
239,scene6,inanimate7,scene3
