,miniblock,er,sus
0,scene15,isanimate4,scene18
1,isanimate0,scene4,inanimate1
2,scene0,isanimate3,inanimate3
3,isanimate4,scene13,isanimate1
4,inanimate1,scene12,scene1
5,scene11,isanimate2,isanimate2
6,scene4,scene19,inanimate8
7,scene1,isanimate8,scene0
8,scene6,scene7,isanimate4
9,scene13,scene1,inanimate9
10,scene5,scene8,inanimate0
11,scene10,scene2,inanimate6
12,inanimate0,scene18,inanimate4
13,isanimate2,isanimate1,scene5
14,inanimate7,isanimate0,scene19
15,isanimate9,inanimate1,scene8
16,inanimate3,scene10,isanimate5
17,scene2,inanimate7,scene6
18,scene12,inanimate9,scene2
19,inanimate8,scene3,scene11
20,isanimate1,isanimate6,isanimate8
21,inanimate2,scene17,inanimate7
22,scene14,scene6,scene17
23,isanimate8,inanimate0,inanimate2
24,isanimate5,inanimate3,scene7
25,scene9,scene15,inanimate5
26,inanimate6,isanimate7,scene14
27,scene18,isanimate5,isanimate0
28,isanimate3,scene14,scene10
29,scene7,inanimate4,scene3
30,scene3,inanimate6,isanimate7
31,inanimate9,scene9,scene12
32,scene16,inanimate8,scene9
33,scene17,isanimate9,isanimate9
34,inanimate4,inanimate2,scene4
35,isanimate6,scene0,isanimate6
36,scene8,scene11,scene15
37,scene19,inanimate5,scene13
38,inanimate5,scene5,scene16
39,isanimate7,scene16,isanimate3
40,inanimate5,scene12,scene13
41,scene17,scene2,isanimate8
42,isanimate3,isanimate3,scene7
43,scene0,scene8,scene11
44,isanimate5,scene3,isanimate4
45,scene13,scene5,isanimate3
46,isanimate8,scene19,scene8
47,scene9,scene14,inanimate5
48,inanimate1,isanimate7,scene1
49,isanimate4,inanimate7,scene10
50,scene15,scene13,inanimate2
51,inanimate6,inanimate0,scene3
52,inanimate3,inanimate4,inanimate8
53,isanimate0,scene0,inanimate6
54,isanimate9,scene4,isanimate1
55,inanimate0,inanimate2,isanimate9
56,inanimate4,isanimate5,scene5
57,scene18,isanimate4,isanimate7
58,scene6,isanimate2,isanimate2
59,scene10,scene17,inanimate7
60,scene11,isanimate9,scene16
61,scene7,inanimate9,scene9
62,scene12,inanimate3,inanimate1
63,isanimate7,scene1,inanimate3
64,scene19,isanimate6,scene17
65,scene16,isanimate1,scene4
66,scene8,scene15,scene12
67,scene5,isanimate8,isanimate0
68,scene1,inanimate6,isanimate5
69,inanimate8,scene7,scene15
70,scene3,inanimate8,isanimate6
71,scene2,scene10,scene18
72,inanimate7,inanimate5,scene14
73,inanimate2,inanimate1,inanimate0
74,isanimate1,scene6,scene0
75,scene14,scene9,inanimate4
76,isanimate2,scene18,inanimate9
77,inanimate9,isanimate0,scene6
78,scene4,scene16,scene19
79,isanimate6,scene11,scene2
80,scene10,scene0,inanimate7
81,scene11,isanimate2,isanimate8
82,scene13,scene13,isanimate7
83,inanimate5,isanimate0,inanimate5
84,scene12,scene7,inanimate1
