,miniblock,er,sus
0,scene19,isanimate0,scene1
1,inanimate0,isanimate4,isanimate9
2,isanimate0,scene6,scene11
3,isanimate8,inanimate3,inanimate6
4,scene12,inanimate4,scene4
5,scene16,scene12,scene2
6,inanimate1,scene14,scene0
7,isanimate9,isanimate8,scene9
8,inanimate6,isanimate5,isanimate6
9,inanimate5,scene4,scene12
10,isanimate6,scene10,isanimate2
11,isanimate4,inanimate5,inanimate3
12,scene1,isanimate3,inanimate1
13,scene18,scene15,scene17
14,inanimate7,inanimate9,scene8
15,scene0,scene0,inanimate4
16,isanimate3,isanimate2,scene18
17,inanimate8,scene17,isanimate1
18,scene6,scene2,scene7
19,scene14,scene8,isanimate5
20,scene9,inanimate7,scene5
21,scene17,inanimate6,inanimate0
22,scene7,scene3,scene3
23,isanimate1,scene18,inanimate7
24,isanimate5,inanimate8,inanimate9
25,isanimate7,scene9,scene19
26,scene10,scene11,scene10
27,scene15,scene16,scene14
28,isanimate2,isanimate9,scene15
29,scene3,isanimate7,inanimate2
30,scene13,scene5,inanimate8
31,inanimate9,isanimate6,isanimate4
32,inanimate4,scene7,scene16
33,inanimate2,isanimate1,inanimate5
34,inanimate3,scene13,isanimate8
35,scene4,inanimate1,scene6
36,scene2,scene19,isanimate0
37,scene5,inanimate0,scene13
38,scene11,scene1,isanimate7
39,scene8,inanimate2,isanimate3
40,scene16,scene12,isanimate7
41,inanimate3,scene19,scene17
42,scene17,inanimate1,scene2
43,inanimate5,scene9,scene11
44,inanimate6,inanimate9,isanimate8
45,scene13,isanimate6,scene7
46,scene6,isanimate7,inanimate7
47,scene3,isanimate1,isanimate2
48,isanimate2,scene6,scene8
49,scene19,scene7,inanimate6
50,scene11,scene11,inanimate8
51,scene8,scene17,scene19
52,scene7,scene5,scene18
53,isanimate6,scene0,scene10
54,isanimate7,isanimate4,isanimate1
55,isanimate1,scene1,isanimate5
56,isanimate8,inanimate3,inanimate1
57,scene1,inanimate4,scene4
58,isanimate9,scene4,isanimate9
59,inanimate7,inanimate0,isanimate0
60,scene12,isanimate0,inanimate9
61,scene15,scene18,scene1
62,inanimate2,isanimate2,inanimate3
63,scene0,isanimate8,isanimate4
64,inanimate4,scene13,scene13
65,inanimate0,scene15,scene6
66,inanimate1,scene16,scene12
67,scene4,inanimate7,inanimate5
68,isanimate0,inanimate8,inanimate4
69,isanimate5,inanimate5,isanimate6
70,scene2,isanimate5,scene16
71,inanimate8,scene2,scene0
72,scene10,isanimate3,isanimate3
73,isanimate3,scene14,inanimate2
74,isanimate4,inanimate2,scene9
75,inanimate9,isanimate9,inanimate0
76,scene18,scene3,scene3
77,scene9,scene8,scene15
78,scene5,scene10,scene14
79,scene14,inanimate6,scene5
80,scene1,isanimate3,inanimate7
81,isanimate0,scene15,scene19
82,scene9,scene3,isanimate7
83,scene10,isanimate5,isanimate9
