,miniblock,er,sus
0,inanimate8,isanimate9,inanimate7
1,isanimate0,isanimate5,scene1
2,scene8,scene14,isanimate3
3,scene0,isanimate4,scene15
4,scene5,inanimate7,isanimate6
5,isanimate9,isanimate1,scene2
6,scene14,inanimate4,inanimate6
7,scene2,isanimate3,inanimate4
8,isanimate2,scene8,scene13
9,scene18,isanimate8,inanimate1
10,scene4,scene9,inanimate9
11,inanimate4,inanimate6,scene9
12,inanimate2,inanimate3,isanimate0
13,scene12,isanimate6,scene17
14,inanimate0,scene16,scene7
15,scene15,scene2,isanimate2
16,scene9,inanimate9,scene8
17,inanimate6,scene7,scene19
18,scene11,inanimate2,inanimate3
19,scene17,scene0,scene14
20,scene3,scene4,isanimate8
21,isanimate4,scene3,isanimate7
22,isanimate1,scene17,scene10
23,scene1,inanimate0,inanimate5
24,scene10,inanimate1,scene5
25,scene19,isanimate7,scene18
26,inanimate5,scene15,isanimate1
27,inanimate3,isanimate0,inanimate8
28,scene7,scene1,inanimate2
29,scene6,isanimate2,scene12
30,scene13,inanimate5,scene4
31,isanimate8,scene6,scene0
32,inanimate7,scene10,isanimate5
33,isanimate5,scene13,isanimate9
34,inanimate1,scene18,scene16
35,isanimate6,scene12,scene3
36,scene16,scene19,inanimate0
37,isanimate7,scene5,isanimate4
38,inanimate9,scene11,scene11
39,isanimate3,inanimate8,scene6
40,inanimate5,isanimate2,inanimate4
41,scene13,inanimate9,inanimate3
42,scene0,scene0,inanimate9
43,inanimate0,scene15,isanimate1
44,isanimate1,scene16,scene3
45,scene16,isanimate8,scene12
46,inanimate3,inanimate7,isanimate7
47,inanimate8,isanimate4,scene9
48,inanimate7,inanimate2,isanimate0
49,inanimate4,scene1,scene17
50,scene1,inanimate8,scene16
51,isanimate9,scene8,isanimate6
52,isanimate6,isanimate9,inanimate6
53,inanimate9,scene2,scene5
54,scene14,scene18,scene15
55,scene18,scene14,scene4
56,scene12,scene17,scene10
57,isanimate4,isanimate6,isanimate4
58,scene17,scene4,inanimate0
59,isanimate7,isanimate5,scene8
60,inanimate2,scene6,inanimate2
61,scene5,inanimate4,isanimate8
62,scene15,scene11,inanimate5
63,scene19,scene10,inanimate7
64,isanimate5,inanimate3,scene7
65,scene8,scene5,isanimate9
66,scene2,scene13,scene6
67,scene7,isanimate7,isanimate3
68,scene6,inanimate5,inanimate1
69,isanimate0,scene7,scene2
70,inanimate1,isanimate0,scene19
71,scene3,scene12,scene11
72,scene4,scene19,isanimate2
73,scene10,isanimate3,scene13
74,isanimate2,scene9,scene14
