,miniblock,er,sus
0,isanimate9,inanimate3,inanimate8
1,scene10,isanimate0,isanimate7
2,scene5,scene17,scene0
3,scene3,isanimate9,inanimate4
4,scene2,inanimate0,scene11
5,scene11,isanimate7,isanimate0
6,scene7,scene14,isanimate1
7,inanimate3,scene16,inanimate0
8,inanimate1,scene9,scene5
9,scene9,isanimate2,scene13
10,scene18,scene2,scene16
11,isanimate5,inanimate7,scene17
12,inanimate6,isanimate1,scene10
13,scene1,scene6,isanimate2
14,isanimate0,scene15,scene18
15,inanimate9,scene0,inanimate2
16,isanimate7,inanimate5,isanimate5
17,inanimate0,isanimate4,scene6
18,scene17,inanimate6,inanimate1
19,scene19,inanimate4,scene15
20,isanimate6,scene1,isanimate4
21,isanimate8,isanimate6,scene14
22,scene8,scene3,inanimate6
23,inanimate8,inanimate1,isanimate9
24,scene12,inanimate8,inanimate7
25,isanimate2,inanimate9,inanimate3
26,isanimate3,scene12,scene1
27,inanimate2,isanimate3,scene3
28,scene15,scene19,scene8
29,inanimate5,scene11,scene4
30,scene0,inanimate2,scene9
31,scene13,scene18,scene19
32,isanimate4,scene13,isanimate6
33,isanimate1,isanimate5,isanimate8
34,inanimate4,scene10,inanimate9
35,scene4,scene7,isanimate3
36,scene16,scene4,scene2
37,scene14,scene8,inanimate5
38,scene6,scene5,scene12
39,inanimate7,isanimate8,scene7
40,scene3,inanimate9,inanimate2
41,scene6,scene18,isanimate9
42,scene12,scene6,scene14
43,scene17,scene17,scene12
44,scene11,scene4,isanimate4
45,scene19,inanimate4,inanimate8
46,scene10,scene9,scene11
47,inanimate4,scene11,isanimate8
48,isanimate7,scene19,isanimate7
49,scene5,isanimate9,inanimate1
50,scene1,scene15,scene19
51,isanimate5,isanimate3,scene2
52,inanimate8,scene5,scene0
53,isanimate1,inanimate7,scene10
54,inanimate9,isanimate4,scene7
55,scene14,scene2,scene5
56,isanimate0,scene12,scene15
57,scene2,isanimate7,scene1
58,isanimate3,inanimate6,inanimate6
59,isanimate2,inanimate0,inanimate9
60,scene18,inanimate5,isanimate5
61,inanimate0,scene8,scene6
62,inanimate5,scene7,isanimate2
63,scene7,scene14,scene3
64,inanimate3,scene16,inanimate4
65,inanimate2,inanimate3,inanimate3
66,isanimate6,isanimate6,scene8
67,scene15,scene1,scene17
68,isanimate9,scene0,isanimate0
69,scene8,isanimate0,scene13
70,isanimate8,isanimate1,scene9
71,scene9,scene13,isanimate3
72,inanimate1,scene3,scene18
73,inanimate6,inanimate1,inanimate0
74,scene13,isanimate2,scene4
75,isanimate4,scene10,inanimate5
76,scene16,inanimate2,inanimate7
77,scene0,inanimate8,isanimate1
78,inanimate7,isanimate8,scene16
79,scene4,isanimate5,isanimate6
80,inanimate8,isanimate4,isanimate0
81,inanimate9,isanimate7,scene15
82,scene4,scene9,scene17
83,scene12,inanimate3,inanimate7
84,inanimate3,scene17,scene11
85,scene1,scene7,scene10
86,scene15,scene4,scene0
87,scene8,inanimate4,scene1
88,inanimate5,scene16,isanimate1
89,scene3,scene19,isanimate6
90,inanimate2,inanimate9,scene5
91,isanimate0,isanimate6,scene12
92,inanimate6,scene11,scene4
93,isanimate5,inanimate1,scene19
94,scene14,inanimate0,scene9
95,scene16,scene10,scene3
96,scene7,scene12,inanimate6
97,scene18,isanimate5,inanimate9
98,scene5,inanimate8,inanimate0
99,isanimate9,scene3,scene13
100,isanimate8,scene15,scene16
101,scene0,inanimate7,scene18
102,isanimate1,isanimate8,isanimate3
103,isanimate7,scene18,scene8
104,inanimate4,isanimate3,inanimate8
105,scene13,scene1,inanimate3
106,isanimate3,scene0,isanimate7
107,scene2,scene8,scene6
108,scene6,scene5,scene14
109,scene9,inanimate5,inanimate2
110,scene17,inanimate6,isanimate2
111,isanimate6,isanimate9,isanimate9
112,inanimate0,isanimate2,scene7
113,scene19,scene2,inanimate1
114,scene11,inanimate2,isanimate4
115,inanimate1,scene6,isanimate5
116,scene10,isanimate1,scene2
117,isanimate4,scene14,isanimate8
118,isanimate2,scene13,inanimate5
119,inanimate7,isanimate0,inanimate4
120,isanimate6,scene4,scene0
121,scene15,inanimate1,scene6
122,scene10,isanimate1,scene13
123,inanimate4,isanimate8,scene7
124,scene11,scene18,scene18
125,inanimate0,isanimate6,scene16
126,scene6,scene14,isanimate4
127,isanimate4,scene2,scene8
128,scene4,inanimate6,inanimate3
129,isanimate2,scene8,scene17
130,inanimate8,scene6,scene19
131,scene9,scene1,isanimate0
132,scene1,isanimate2,isanimate8
133,isanimate8,inanimate3,scene12
134,isanimate0,scene15,scene9
135,scene13,isanimate0,isanimate3
136,scene14,scene5,isanimate7
137,isanimate1,scene9,scene15
138,scene7,inanimate5,scene5
