,miniblock,er,sus
0,inanimate8,scene13,scene18
1,scene16,scene6,isanimate3
2,scene6,scene19,isanimate6
3,scene1,isanimate8,inanimate8
4,isanimate4,isanimate6,scene7
5,scene10,isanimate0,scene15
6,scene8,scene7,isanimate7
7,inanimate7,scene0,inanimate9
8,inanimate5,scene5,inanimate5
9,scene15,inanimate3,scene17
10,isanimate3,inanimate2,isanimate9
11,isanimate0,isanimate5,inanimate7
12,scene17,isanimate2,scene6
13,inanimate9,scene4,scene1
14,isanimate1,scene2,isanimate2
15,isanimate9,inanimate8,inanimate2
16,isanimate6,scene15,scene12
17,inanimate4,scene12,inanimate4
18,scene13,isanimate4,scene0
19,scene3,scene9,scene19
20,isanimate2,scene17,inanimate6
21,isanimate7,inanimate0,scene11
22,isanimate5,scene8,isanimate4
23,scene9,scene1,scene3
24,inanimate3,inanimate9,scene2
25,scene2,scene18,isanimate0
26,scene19,scene11,scene13
27,scene7,isanimate1,scene14
28,scene12,scene3,scene9
29,inanimate1,isanimate9,scene5
30,scene0,scene14,scene8
31,scene11,inanimate7,isanimate8
32,scene18,scene10,isanimate5
33,scene4,isanimate3,isanimate1
34,scene5,scene16,inanimate3
35,inanimate0,inanimate5,scene10
36,inanimate2,isanimate7,scene16
37,inanimate6,inanimate1,scene4
38,scene14,inanimate6,inanimate1
39,isanimate8,inanimate4,inanimate0
40,scene10,scene7,inanimate6
41,isanimate4,inanimate4,isanimate6
42,scene8,scene19,scene6
43,inanimate9,scene0,scene4
44,scene6,isanimate7,scene13
45,scene3,scene15,scene5
46,scene7,isanimate5,scene2
47,inanimate3,scene1,scene11
48,scene4,scene6,scene7
49,scene0,scene3,scene15
50,inanimate1,scene18,isanimate0
51,scene11,inanimate2,inanimate1
52,inanimate6,inanimate5,isanimate7
53,isanimate7,scene5,inanimate8
54,scene15,inanimate7,inanimate4
55,inanimate8,scene17,scene14
56,inanimate5,scene8,inanimate5
57,scene12,scene14,inanimate0
58,scene2,scene9,scene17
59,scene14,inanimate8,inanimate9
60,isanimate9,inanimate0,inanimate2
61,isanimate6,isanimate2,isanimate3
62,scene9,isanimate0,scene12
63,isanimate3,inanimate6,scene9
64,isanimate1,inanimate3,scene16
65,scene16,scene10,scene10
66,isanimate5,scene11,isanimate2
