,miniblock,er,sus
0,inanimate3,isanimate8,scene5
1,scene1,scene3,inanimate5
2,inanimate8,isanimate4,inanimate8
3,scene8,scene8,scene6
4,inanimate0,isanimate3,isanimate5
5,scene2,scene4,inanimate0
6,scene11,scene9,scene11
7,isanimate3,inanimate1,scene13
8,inanimate5,scene0,isanimate7
9,inanimate2,inanimate9,scene17
10,scene0,inanimate5,inanimate9
11,inanimate4,scene16,scene16
12,scene18,isanimate9,isanimate2
13,isanimate4,scene15,isanimate8
14,scene12,scene18,scene18
15,scene3,isanimate5,scene12
16,isanimate0,isanimate6,scene15
17,scene16,isanimate2,inanimate6
18,scene14,scene6,scene2
19,isanimate1,scene14,scene3
20,scene9,inanimate4,inanimate7
21,isanimate9,inanimate2,inanimate4
22,inanimate6,isanimate1,isanimate1
23,isanimate7,isanimate7,isanimate6
24,scene6,scene17,isanimate0
25,scene19,isanimate0,scene10
26,inanimate7,scene12,scene7
27,inanimate1,scene7,inanimate2
28,isanimate8,scene11,isanimate3
29,isanimate5,scene1,inanimate1
30,scene15,inanimate6,scene14
31,scene7,scene13,scene1
32,isanimate6,inanimate0,scene4
33,scene4,scene2,isanimate9
34,scene5,inanimate8,scene8
35,scene17,inanimate7,inanimate3
36,isanimate2,scene5,isanimate4
37,inanimate9,scene10,scene0
38,scene10,scene19,scene9
39,scene13,inanimate3,scene19
40,scene12,scene3,isanimate2
41,scene6,scene2,scene19
42,inanimate8,isanimate0,scene6
43,scene13,scene11,scene15
44,isanimate5,inanimate5,scene8
45,scene14,inanimate6,scene10
46,scene1,scene19,scene18
47,scene5,inanimate0,inanimate3
48,scene17,isanimate4,scene13
49,inanimate3,isanimate8,isanimate9
50,scene4,isanimate3,scene17
51,inanimate0,scene1,isanimate5
52,scene15,scene8,inanimate1
53,scene11,scene15,inanimate8
54,scene0,inanimate4,isanimate8
55,scene8,scene6,scene0
56,inanimate2,scene10,scene4
57,scene2,isanimate6,scene5
58,isanimate4,isanimate2,isanimate0
59,inanimate6,isanimate5,inanimate6
60,inanimate1,scene5,scene1
61,isanimate7,inanimate3,scene11
62,isanimate6,scene12,scene12
63,scene7,isanimate7,isanimate6
64,scene16,inanimate1,inanimate9
65,inanimate7,inanimate8,scene9
66,scene18,scene18,scene3
67,scene19,scene13,inanimate2
68,isanimate8,scene9,inanimate0
69,scene10,scene0,inanimate4
70,isanimate1,scene14,inanimate7
71,isanimate3,scene7,isanimate7
72,isanimate2,inanimate2,scene7
73,inanimate9,isanimate9,isanimate4
74,scene9,scene4,scene16
75,isanimate9,scene16,isanimate3
76,inanimate4,inanimate9,scene14
77,inanimate5,scene17,scene2
78,scene3,isanimate1,inanimate5
79,isanimate0,inanimate7,isanimate1
80,inanimate4,scene19,scene16
81,scene4,isanimate2,isanimate1
82,inanimate0,scene4,scene0
83,scene12,scene14,scene13
84,scene1,inanimate2,scene18
85,scene2,isanimate1,inanimate8
86,scene16,scene7,scene3
87,inanimate2,inanimate8,scene10
88,scene6,inanimate6,scene5
89,scene7,scene17,inanimate1
90,scene9,scene18,inanimate4
91,scene13,isanimate3,isanimate2
92,scene18,inanimate3,scene8
93,inanimate3,isanimate9,inanimate3
94,scene3,scene8,inanimate6
95,inanimate7,scene2,inanimate9
96,scene17,scene10,scene17
97,isanimate9,scene11,inanimate7
98,inanimate5,isanimate5,isanimate0
99,scene8,scene13,scene6
100,isanimate0,isanimate6,inanimate0
101,scene10,inanimate1,scene2
102,isanimate3,scene0,scene9
103,isanimate4,scene3,isanimate9
104,scene19,scene16,scene15
105,isanimate7,scene9,scene11
106,isanimate1,scene6,isanimate4
107,scene11,inanimate5,scene1
108,isanimate6,scene1,isanimate3
109,inanimate1,inanimate7,scene4
110,isanimate8,isanimate4,scene14
111,scene15,isanimate0,inanimate5
112,inanimate9,scene15,isanimate8
113,inanimate8,isanimate7,isanimate5
114,scene14,scene5,scene7
115,scene5,isanimate8,scene12
116,isanimate5,inanimate4,scene19
117,inanimate6,scene12,isanimate7
118,scene0,inanimate0,inanimate2
119,isanimate2,inanimate9,isanimate6
120,isanimate6,isanimate0,isanimate2
121,scene2,inanimate5,inanimate9
122,isanimate5,isanimate2,scene4
123,inanimate4,scene16,inanimate0
124,inanimate3,scene10,inanimate1
125,scene9,scene12,scene10
126,isanimate3,scene7,inanimate2
127,scene7,isanimate4,isanimate0
128,scene4,scene0,scene0
129,scene15,scene3,scene19
130,scene3,inanimate1,scene2
131,inanimate5,isanimate3,inanimate5
132,inanimate9,scene5,inanimate3
133,inanimate0,isanimate9,scene14
134,inanimate6,inanimate4,isanimate6
135,scene18,inanimate0,inanimate7
136,scene0,scene8,scene9
137,scene14,scene14,inanimate8
138,scene13,scene6,isanimate4
139,scene12,scene2,scene16
140,scene19,isanimate5,inanimate4
141,isanimate0,inanimate2,inanimate6
142,scene8,inanimate3,scene6
143,inanimate1,scene19,scene1
144,scene11,isanimate1,scene17
145,scene17,inanimate8,isanimate8
146,isanimate9,scene15,isanimate3
147,inanimate8,scene4,isanimate1
148,isanimate4,scene13,isanimate5
149,inanimate7,scene11,isanimate7
150,isanimate1,isanimate8,scene7
151,scene10,scene17,scene8
152,isanimate2,scene1,scene3
153,scene5,scene9,scene18
154,isanimate8,inanimate7,scene5
155,isanimate7,isanimate6,scene12
156,scene6,inanimate9,scene13
157,scene16,scene18,isanimate9
158,scene1,inanimate6,scene15
159,inanimate2,isanimate7,scene11
160,inanimate0,scene8,inanimate3
161,scene6,scene11,inanimate5
162,isanimate7,scene14,scene4
163,scene3,inanimate4,isanimate4
164,scene11,inanimate9,scene5
165,inanimate9,isanimate1,isanimate9
166,inanimate6,isanimate5,isanimate3
167,isanimate5,inanimate1,scene7
168,inanimate4,isanimate0,scene3
169,isanimate2,scene15,inanimate7
170,inanimate8,scene2,scene6
171,scene0,scene3,isanimate6
172,scene19,isanimate2,scene19
173,scene12,isanimate4,scene10
174,scene15,isanimate8,scene14
175,scene18,inanimate0,inanimate6
176,scene9,isanimate6,isanimate2
177,isanimate6,inanimate5,isanimate1
178,scene13,inanimate3,scene0
179,scene10,scene0,scene8
180,isanimate8,scene18,scene11
181,scene17,inanimate6,inanimate2
182,isanimate0,scene1,inanimate1
183,scene14,inanimate8,isanimate7
184,scene5,scene6,scene13
185,isanimate3,scene4,scene16
186,inanimate3,scene10,scene17
187,scene7,scene5,scene12
188,isanimate1,scene16,scene1
189,inanimate1,isanimate7,inanimate0
190,scene4,scene13,isanimate0
191,scene2,scene19,isanimate8
192,isanimate9,scene9,inanimate4
193,inanimate7,isanimate3,inanimate9
194,inanimate2,inanimate7,isanimate5
195,inanimate5,inanimate2,inanimate8
196,isanimate4,scene12,scene18
197,scene1,scene17,scene15
198,scene8,scene7,scene2
199,scene16,isanimate9,scene9
200,scene9,isanimate1,scene3
201,inanimate7,scene13,scene7
202,scene19,scene14,scene8
203,isanimate7,isanimate0,isanimate9
204,inanimate1,scene7,scene15
205,scene13,isanimate6,isanimate6
206,inanimate3,inanimate6,inanimate1
207,scene6,inanimate0,inanimate8
208,scene8,inanimate3,scene12
209,inanimate8,scene0,inanimate0
210,isanimate0,scene1,isanimate3
211,scene7,isanimate3,inanimate9
212,isanimate4,scene16,scene5
213,isanimate2,scene8,isanimate1
214,isanimate1,inanimate7,inanimate3
215,scene17,scene18,inanimate5
216,isanimate3,isanimate8,isanimate8
217,isanimate6,isanimate2,scene4
218,scene0,scene2,scene0
219,scene12,scene4,scene9
220,scene1,scene17,scene19
221,scene4,scene11,scene18
222,inanimate2,isanimate7,scene6
223,scene10,inanimate9,scene11
224,scene11,isanimate5,isanimate4
225,inanimate4,scene3,inanimate4
226,scene14,inanimate2,inanimate7
227,scene15,inanimate8,isanimate0
228,inanimate0,scene19,inanimate2
229,inanimate6,inanimate5,scene1
230,inanimate9,isanimate9,isanimate2
231,scene2,scene9,scene2
232,isanimate9,inanimate4,scene16
233,scene5,scene10,scene10
234,isanimate8,scene15,isanimate5
235,scene16,inanimate1,scene17
236,isanimate5,scene6,scene14
237,scene18,scene12,inanimate6
238,inanimate5,isanimate4,isanimate7
239,scene3,scene5,scene13
