,miniblock,er,sus
0,scene10,inanimate1,isanimate2
1,scene19,scene7,inanimate7
2,scene12,scene17,inanimate5
3,inanimate6,scene15,scene6
4,scene7,inanimate9,scene4
5,inanimate7,scene4,isanimate5
6,isanimate6,isanimate3,inanimate9
7,scene0,scene13,scene7
8,scene13,isanimate0,scene1
9,scene11,inanimate2,isanimate6
10,scene6,inanimate5,scene16
11,isanimate3,isanimate1,inanimate2
12,scene8,inanimate6,isanimate4
13,scene1,scene8,isanimate7
14,inanimate1,scene11,isanimate9
15,inanimate0,isanimate2,scene18
16,scene4,isanimate7,isanimate1
17,isanimate5,scene9,scene0
18,isanimate0,scene10,inanimate4
19,scene9,scene6,inanimate8
20,inanimate2,scene5,scene3
21,scene5,scene12,inanimate6
22,scene16,isanimate6,scene2
23,inanimate5,isanimate5,scene5
24,scene18,inanimate0,scene17
25,inanimate3,scene1,scene9
26,isanimate8,inanimate7,scene8
27,scene14,inanimate3,isanimate0
28,inanimate8,inanimate8,isanimate3
29,scene2,scene16,inanimate0
30,scene3,scene19,scene15
31,isanimate7,scene2,scene12
32,scene17,inanimate4,isanimate8
33,isanimate2,scene0,scene19
34,inanimate9,scene18,scene14
35,isanimate1,scene14,scene10
36,scene15,isanimate4,inanimate1
37,isanimate4,scene3,scene11
38,inanimate4,isanimate9,scene13
39,isanimate9,isanimate8,inanimate3
40,isanimate9,inanimate1,scene14
41,inanimate7,inanimate5,inanimate6
42,isanimate3,scene5,inanimate0
43,scene3,scene10,scene8
44,scene9,scene0,scene2
45,isanimate6,scene9,scene15
46,inanimate8,inanimate4,scene5
47,scene2,isanimate4,inanimate3
48,inanimate2,scene6,scene3
49,scene17,scene1,inanimate7
50,isanimate0,isanimate8,isanimate9
51,scene5,isanimate3,scene0
52,isanimate1,inanimate7,scene9
53,scene16,scene2,isanimate3
54,scene6,scene15,inanimate1
55,inanimate1,scene16,scene18
56,scene14,isanimate6,isanimate5
57,scene8,scene7,scene7
58,scene15,isanimate7,scene17
59,isanimate8,scene4,isanimate6
60,scene12,isanimate1,scene19
61,scene10,scene14,isanimate1
62,inanimate0,isanimate2,isanimate2
63,inanimate6,inanimate0,scene1
64,scene0,isanimate5,scene13
65,scene13,inanimate9,inanimate9
66,isanimate4,scene17,inanimate5
67,scene18,isanimate9,scene11
68,inanimate9,inanimate3,isanimate8
69,isanimate7,inanimate2,isanimate7
70,scene1,isanimate0,inanimate8
71,isanimate5,scene12,scene12
72,inanimate4,inanimate8,isanimate4
73,isanimate2,scene8,scene10
74,inanimate3,scene13,scene6
75,scene4,scene18,inanimate2
76,scene11,inanimate6,scene4
77,scene7,scene19,scene16
78,scene19,scene11,inanimate4
79,inanimate5,scene3,isanimate0
80,isanimate1,isanimate6,inanimate2
81,isanimate9,scene0,scene17
82,inanimate4,scene4,scene7
83,isanimate0,scene11,scene18
84,scene13,inanimate1,isanimate9
85,scene8,scene6,isanimate5
86,inanimate2,inanimate0,scene15
87,isanimate3,scene5,inanimate4
88,inanimate0,scene9,isanimate8
89,scene0,scene16,isanimate6
90,scene11,isanimate9,scene10
91,inanimate1,scene12,scene8
92,scene19,isanimate5,inanimate3
93,isanimate7,isanimate7,scene1
94,isanimate5,scene7,isanimate1
95,scene2,inanimate7,scene19
96,inanimate7,scene18,scene3
97,scene12,scene10,isanimate2
98,scene14,inanimate3,isanimate7
99,scene10,scene1,isanimate0
100,isanimate8,isanimate2,scene14
101,isanimate4,scene19,scene5
102,scene15,isanimate8,scene9
103,scene9,inanimate5,isanimate3
104,inanimate8,inanimate6,inanimate9
105,scene17,inanimate4,scene0
106,scene3,scene3,scene12
107,inanimate3,isanimate3,inanimate7
108,scene16,inanimate2,inanimate0
109,inanimate6,isanimate0,scene2
110,scene6,scene17,scene6
111,scene5,scene8,inanimate8
112,scene4,scene2,inanimate6
113,scene1,scene14,scene16
114,scene7,isanimate4,inanimate5
115,scene18,scene15,scene11
116,inanimate9,scene13,scene4
117,isanimate2,inanimate8,isanimate4
118,inanimate5,isanimate1,scene13
119,isanimate6,inanimate9,inanimate1
120,scene12,scene9,isanimate8
121,isanimate4,isanimate9,scene18
122,inanimate6,isanimate1,scene19
123,scene5,scene16,isanimate1
124,inanimate1,scene18,scene4
125,inanimate2,isanimate7,scene5
126,scene18,inanimate2,scene7
127,scene10,inanimate5,scene11
128,scene3,scene17,inanimate5
129,inanimate4,isanimate2,scene3
130,scene17,scene12,inanimate2
131,inanimate0,inanimate8,inanimate1
132,scene14,scene13,inanimate0
133,inanimate8,isanimate8,scene12
134,scene8,scene11,scene17
135,isanimate3,scene5,scene16
136,scene15,inanimate1,isanimate2
137,isanimate7,isanimate5,isanimate5
138,scene7,scene19,scene8
139,isanimate5,scene10,isanimate4
140,isanimate8,scene2,inanimate4
141,scene16,inanimate9,inanimate7
142,scene4,scene3,scene9
143,isanimate0,inanimate3,scene2
144,isanimate1,inanimate7,scene15
145,inanimate7,inanimate4,scene0
146,scene11,isanimate4,isanimate0
147,scene6,isanimate3,inanimate3
148,isanimate2,scene8,scene14
149,isanimate9,scene15,isanimate6
150,scene9,scene4,scene10
151,scene13,scene0,scene1
152,inanimate3,inanimate0,isanimate3
153,scene2,scene6,inanimate8
154,isanimate6,isanimate6,inanimate9
155,inanimate5,scene14,isanimate7
156,scene1,scene1,scene13
157,inanimate9,scene7,inanimate6
158,scene0,isanimate0,scene6
159,scene19,inanimate6,isanimate9
160,scene14,scene18,inanimate4
161,scene8,inanimate9,scene17
162,scene6,scene3,inanimate2
163,inanimate4,scene17,scene6
164,scene16,scene4,scene18
165,scene5,isanimate6,scene8
166,scene15,scene16,inanimate8
167,scene19,inanimate8,isanimate9
168,scene18,inanimate5,scene12
169,inanimate9,isanimate2,inanimate3
170,inanimate2,scene7,scene11
171,isanimate4,isanimate7,isanimate4
172,isanimate8,isanimate9,isanimate6
173,inanimate3,scene8,isanimate2
174,scene7,inanimate7,inanimate0
175,inanimate0,isanimate1,isanimate0
176,scene9,scene6,isanimate3
177,inanimate8,scene2,isanimate1
178,isanimate7,scene19,scene19
179,scene11,inanimate0,scene0
180,isanimate9,isanimate4,inanimate7
181,scene4,scene11,inanimate5
182,isanimate1,inanimate3,scene10
183,isanimate2,scene15,scene16
184,scene2,inanimate6,isanimate5
185,inanimate5,inanimate1,scene7
186,isanimate3,scene13,scene9
187,isanimate0,isanimate8,scene15
188,scene0,isanimate0,scene14
189,inanimate7,isanimate5,inanimate6
190,scene1,isanimate3,scene3
191,scene10,inanimate4,isanimate7
192,scene12,scene14,isanimate8
193,scene13,scene1,scene2
194,inanimate6,scene10,scene13
195,scene17,scene0,scene4
196,isanimate5,scene9,inanimate1
197,scene3,scene5,inanimate9
198,isanimate6,scene12,scene1
199,inanimate1,inanimate2,scene5
200,inanimate7,scene16,inanimate9
201,scene4,isanimate8,scene5
202,inanimate9,scene5,scene15
203,scene5,scene17,inanimate4
204,isanimate5,inanimate8,inanimate7
205,scene2,inanimate6,scene11
206,isanimate4,isanimate4,scene10
207,scene3,scene14,scene16
208,scene10,inanimate1,scene9
209,scene9,isanimate7,isanimate5
210,isanimate7,scene1,isanimate6
211,isanimate0,scene3,isanimate8
212,scene19,isanimate9,scene19
213,inanimate3,scene13,scene13
214,isanimate9,inanimate9,inanimate5
215,scene12,inanimate3,scene1
216,isanimate1,scene11,scene3
217,isanimate6,scene2,scene14
218,scene6,inanimate0,inanimate6
219,scene16,scene18,scene4
220,isanimate3,scene10,scene6
221,inanimate4,inanimate7,isanimate3
222,inanimate6,scene0,scene0
223,scene7,inanimate5,isanimate2
224,scene13,scene9,inanimate2
225,isanimate8,scene4,isanimate1
226,inanimate0,isanimate2,inanimate3
227,scene15,scene6,inanimate0
228,scene0,inanimate2,inanimate8
229,inanimate8,scene8,isanimate9
230,scene18,isanimate1,scene8
231,inanimate1,scene15,isanimate4
232,inanimate5,isanimate0,scene12
233,scene17,scene12,isanimate0
234,scene14,isanimate5,isanimate7
235,scene8,isanimate3,scene18
236,scene1,scene19,scene17
237,scene11,isanimate6,scene2
238,inanimate2,inanimate4,scene7
239,isanimate2,scene7,inanimate1
