,miniblock,er,sus
0,scene0,scene13,isanimate8
1,scene8,isanimate5,isanimate5
2,isanimate2,inanimate4,isanimate4
3,scene15,isanimate8,scene4
4,scene13,isanimate2,scene0
5,scene17,scene19,scene19
6,scene19,scene14,inanimate6
7,scene4,scene0,isanimate7
8,inanimate8,scene10,scene16
9,isanimate9,inanimate7,inanimate8
10,isanimate6,inanimate9,inanimate0
11,isanimate3,scene16,isanimate9
12,inanimate0,isanimate4,inanimate7
13,scene18,scene15,inanimate5
14,scene5,scene12,isanimate3
15,scene11,scene6,scene8
16,isanimate0,scene9,scene12
17,scene3,scene18,scene6
18,isanimate7,isanimate1,scene11
19,isanimate4,scene7,scene18
20,isanimate5,scene1,scene15
21,scene1,inanimate8,scene9
22,scene2,isanimate9,scene14
23,scene12,inanimate5,scene7
24,inanimate1,inanimate0,scene13
25,inanimate5,isanimate0,isanimate2
26,scene7,scene17,scene1
27,inanimate9,isanimate7,scene10
28,inanimate2,scene5,inanimate2
29,isanimate1,scene3,inanimate4
30,scene6,inanimate6,inanimate9
31,inanimate7,scene2,isanimate0
32,isanimate8,isanimate6,scene17
33,scene16,isanimate3,inanimate1
34,scene14,inanimate2,scene3
35,inanimate6,scene11,isanimate1
36,inanimate3,inanimate3,scene2
37,scene10,inanimate1,inanimate3
38,inanimate4,scene8,isanimate6
39,scene9,scene4,scene5
40,scene3,scene6,scene8
41,scene15,inanimate4,scene18
42,inanimate3,isanimate9,scene17
43,scene5,inanimate7,inanimate0
44,isanimate9,inanimate1,scene16
45,scene12,scene4,inanimate8
46,inanimate8,scene2,isanimate6
47,inanimate6,scene19,scene4
48,scene16,scene3,isanimate3
49,inanimate4,scene5,scene6
50,isanimate5,scene16,scene1
51,isanimate1,isanimate5,scene10
52,isanimate7,scene11,isanimate4
53,isanimate2,isanimate3,inanimate3
54,isanimate3,inanimate2,scene13
55,scene6,scene7,inanimate2
56,scene7,isanimate6,isanimate0
57,scene19,isanimate7,inanimate4
58,inanimate9,inanimate3,scene15
59,scene14,scene10,isanimate5
60,scene18,inanimate0,scene12
61,isanimate0,isanimate1,isanimate7
62,inanimate0,scene14,scene0
63,isanimate8,inanimate6,scene3
64,scene2,inanimate8,isanimate9
65,inanimate7,scene18,scene11
66,isanimate4,scene1,isanimate1
67,inanimate2,inanimate9,scene5
68,scene1,isanimate2,inanimate9
69,scene4,scene17,scene2
70,scene13,scene0,isanimate2
71,isanimate6,scene13,scene9
72,scene10,scene9,scene19
73,scene0,inanimate5,inanimate6
74,inanimate1,scene15,scene7
75,scene17,scene8,inanimate7
76,inanimate5,isanimate8,isanimate8
77,scene9,scene12,scene14
78,scene11,isanimate0,inanimate5
79,scene8,isanimate4,inanimate1
80,isanimate4,scene19,isanimate2
81,inanimate5,isanimate2,scene13
82,scene18,scene11,inanimate3
83,scene12,scene16,isanimate1
84,inanimate3,isanimate3,scene3
85,inanimate1,inanimate7,inanimate7
86,isanimate0,scene10,scene6
87,scene15,scene12,scene12
88,scene11,isanimate4,scene10
89,isanimate3,scene5,inanimate5
90,scene6,isanimate6,scene15
91,scene13,inanimate8,inanimate1
92,scene17,scene8,scene8
93,inanimate8,scene9,isanimate5
94,isanimate2,scene1,scene19
95,isanimate9,inanimate6,scene11
96,scene9,scene14,isanimate4
97,inanimate2,inanimate2,scene14
98,scene3,isanimate5,scene9
99,scene8,inanimate1,scene0
100,inanimate4,scene7,inanimate9
101,inanimate7,isanimate8,scene7
102,scene19,scene0,isanimate0
103,isanimate1,inanimate9,isanimate6
104,isanimate8,inanimate3,inanimate0
105,scene4,scene13,inanimate8
106,inanimate9,isanimate0,isanimate8
107,inanimate0,isanimate1,isanimate9
108,scene16,scene17,inanimate6
109,scene7,scene18,scene4
110,scene10,inanimate0,inanimate2
111,scene0,scene2,scene18
112,isanimate7,scene4,scene16
113,isanimate5,inanimate4,scene17
114,scene1,inanimate5,scene2
115,scene2,scene6,inanimate4
116,inanimate6,isanimate9,isanimate3
117,scene5,scene15,scene1
118,scene14,scene3,isanimate7
119,isanimate6,isanimate7,scene5
120,inanimate1,scene1,inanimate5
121,scene11,scene3,inanimate7
122,scene13,scene6,scene7
123,scene18,isanimate0,scene10
124,scene6,scene14,inanimate0
125,scene7,scene13,inanimate1
126,scene10,scene16,scene2
127,isanimate5,inanimate6,scene14
128,inanimate8,inanimate5,scene15
129,scene8,scene8,inanimate3
130,scene2,scene15,inanimate8
131,isanimate4,inanimate7,inanimate9
132,scene4,inanimate4,inanimate4
133,scene9,isanimate9,scene5
134,inanimate9,scene2,isanimate5
